Category,thread_id,post_id,title,author,time,content,nesting_level,is_first_post,page_num,url
Politics,20,20,"As the stock markets crashed on Friday, April 4,",ReactionryNihilist,16:31,"reply to this post rate flag As the stock markets crashed on Friday, April 4, < ReactionryNihilist > 2025-04-28 16:31 As the stock markets crashed on Friday, April 4, Donald Trump left Washington, D.C. He did not go to New York to consult with Wall Street. He did not go to Dover, Delaware, to receive the bodies of four American servicemen, killed in an accident while serving in Lithuania. Instead, he went to Florida, where he visited his Doral golf resort, which was hosting the Saudi-backed LIV Golf tournament, and stayed at his Mar-a-Lago club, where many tournament fans and sponsors were staying too. His private businesses took precedence over the business of the nation. Many of his guests were also interested in boosting Trump’s personal interests, as well as gaining the American president’s favor. One of them was Yasir al-Rumayyan, who runs the $925 billion Saudi sovereign-wealth fund and is also the chair of the LIV tournament. Other sponsors of the tournament included Riyadh Air, a Saudi airline; Aramco, the Saudi state oil company; and, startlingly, TikTok, the Chinese-owned social-media platform whose fate Trump will personally be deciding, even as he profits from its sponsorship and support. https://forums.craigslist.org/?ID=334633559",0,TRUE,1,https://forums.craigslist.org/?act=Q&ID=334633559
Politics,20,21,Trump is so crooked he actually thought the gov,ReactionryNihilist,16:32,"reply to this post rate flag Trump is so crooked he actually thought the gov < ReactionryNihilist > 2025-04-28 16:32 Trump is so crooked he actually thought the government would get a vig from a private business deal. _________________________________________________________________________________ Mr. President. Are you prepared to sign off on the Oracle and TikTok deal, even though the Treasury isn’t getting paid? And also, does the deal meet your requirements in terms of national security concerns? THE PRESIDENT: Okay, they’re giving me studies on the deal. It has to be 100 percent as far as national security is concerned. And, no, I’m not prepared to sign off on anything. I have to see the deal. We need security, especially after what we’ve seen with respect to China and what’s going on. We want security. So I’ll let you know. They’re going to be reporting to me tomorrow morning, and I will let you know. Q And what about the payment? THE PRESIDENT: The what? Q What about the payment to the Treasury? THE PRESIDENT: Well, we’re going to see about that. Amazingly, I find that you’re not allowed to do that. You’re not allowed to accept — and I said, “What kind of a gov- — what kind of a thing is? If they’re willing to make big payments to the government, they’re not allowed, because there’s no — there’s no way of doing that from a — there’s no legal path to doing that. And I’m saying, “Wait a minute. They’re willing to make a big payment to the government and we’re not allowed to take the money? When does this happen? How foolish can we be?” So we’re going to — we’re looking into that right now. You understand that. In other words, I said, “No, I want a big chunk of that money to go to the United States government because we made it possible. And the lawyers come back to me and they say, “Well, there’s no way of doing that.” You know why? Because nobody has ever heard of that before. Nobody has ever said that before. Nobody has ever said, “Well, we’ll approve the deal, but we want a lot of money to go to the government because by approving the deal, we’re making the deal valuable.” They’ve never heard of that before. Okay? Can you believe that? Right? Hard to believe. https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-press-briefing-september-16-2020/#:~:text=Are%20you%20prepared%20to%20sign,as%20national%20security%20is%20concerned. https://forums.craigslist.org/?ID=334633570",1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633570
Politics,20,22,The Wall Street Journal discovered that executiv,ReactionryNihilist,16:36,"reply to this post rate flag The Wall Street Journal discovered that executiv < ReactionryNihilist > 2025-04-28 16:36 The Wall Street Journal discovered that executives from Binance, the cryptocurrency exchange, met with Treasury officials to ask for looser oversight, even while they were at the same time negotiating a private business deal with World Liberty Financial,"" writes Anne Applebaum. Trump can't govern, but he can sure turn the government infrastructure transactional by allowing those with enough money to pay for carve outs of tariffs, regulations, and taxes. This leaves out small business and family farms. All of those will go by the wayside as Trump picks winner and losers amongst his oligarchs. https://forums.craigslist.org/?ID=334633605",3,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633605
Politics,23,23,Medicaid aids people who cannot afford to,commie__bastard,16:28,"reply to this post rate flag Medicaid aids people who cannot afford to < commie__bastard > 2025-04-28 16:28 pay for medical care or insurance. The capitalist system does not serve them. That's over 80 million US citizens and over half of all elderly in nursing homes & assisted living facilities. No mind is paid to the disastrous effects cuts to Medicaid will have en mass and the life consequences for millions, most of whom are Trump voters. They didnt sign up for this. You talk about cutting costs? This will raise costs for 80 million people. You will NOT get any tax relief from this. WE WILL NOT STAND FOR IT https://forums.craigslist.org/?ID=334633532",0,TRUE,1,https://forums.craigslist.org/?act=Q&ID=334633532
Politics,23,24,when the economy improves,JohnnyTrigger,16:29,reply to this post rate flag when the economy improves < JohnnyTrigger > 2025-04-28 16:29 shouldn't medicaid spending go down? https://forums.craigslist.org/?ID=334633544,1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633544
Politics,23,25,"No, not necessarily.  And its not improving",commie__bastard,16:32,"reply to this post rate flag No, not necessarily. And its not improving < commie__bastard > 2025-04-28 16:32 anyway. Improving for who? You are so fulla shitttt https://forums.craigslist.org/?ID=334633575",2,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633575
Politics,23,26,"the economy improved under Biden, right?",JohnnyTrigger,16:34,"reply to this post rate flag the economy improved under Biden, right? < JohnnyTrigger > 2025-04-28 16:34 so as more people are earning more money and more people are employed then shouldn't there be less need for welfare programs? https://forums.craigslist.org/?ID=334633583",3,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633583
Politics,23,27,"case by case, jackass.  if needed and",commie__bastard,16:44,"reply to this post rate flag case by case, jackass. if needed and < commie__bastard > 2025-04-28 16:44 proven, so be it, whenever, wherever, whomever. end of discussion. and fuck you. https://forums.craigslist.org/?ID=334633655",4,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633655
Politics,23,28,"""The capitalist system""",nightshade-berries,16:31,"reply to this post rate flag ""The capitalist system"" < nightshade-berries > 2025-04-28 16:31 As though that's not an integral part of the entire modern economic system, as introduced by Marx and Engels. https://forums.craigslist.org/?ID=334633563",1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633563
Politics,23,29,what else to call it?  You wanna call it,commie__bastard,16:36,"reply to this post rate flag what else to call it? You wanna call it < commie__bastard > 2025-04-28 16:36 free enterprise... and other bullshit euphemisms. fine. as long as the word ""free"" is used, sounds great. Its advertising. Advertisers love the word ""free"", use it as much as they can. go for it. Its a propaganda term https://forums.craigslist.org/?ID=334633604",2,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633604
